timestamp,target pos (5),pos (5),speed (5),load (5),current (5),temp (5),status (5),moving (5),target pos (3),pos (3),speed (3),load (3),current (3),temp (3),status (3),moving (3),target pos (4),pos (4),speed (4),load (4),current (4),temp (4),status (4),moving (4)
2025-11-09T09:27:10.910Z,2147,2142,0,1056,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:11.011Z,2147,2142,0,1056,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:11.112Z,2047,2142,0,1056,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:11.214Z,2047,2142,0,1028,0,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:11.313Z,2047,2132,33018,68,1,37,0,1,1747,1748,0,8,0,34,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:11.414Z,2047,2097,32968,88,1,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:11.514Z,2047,2063,33018,60,1,37,0,1,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:11.614Z,2047,2053,0,40,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:11.715Z,2047,2053,0,40,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:11.815Z,2047,2053,0,40,2,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:11.915Z,2047,2053,0,40,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:12.016Z,2047,2053,0,40,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:12.116Z,2047,2053,0,40,1,37,0,0,2147,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:12.216Z,2047,2053,0,40,2,37,0,0,2147,1751,50,1136,11,35,0,1,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:12.316Z,2047,2045,0,1052,0,37,0,0,2147,1853,1300,1336,34,35,0,1,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:12.417Z,2047,2043,32818,1048,0,37,0,0,2147,2040,1850,1316,34,35,0,1,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:12.518Z,2047,2042,0,1056,1,37,0,0,2147,2138,650,1096,6,35,0,1,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:12.619Z,2047,2042,0,1056,0,37,0,0,1747,2142,0,1064,3,35,0,0,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:12.719Z,2047,2042,0,1056,0,37,0,0,1747,2137,0,80,6,35,0,1,2347,2347,0,0,0,36,0,0
2025-11-09T09:27:12.821Z,2047,2042,0,1056,1,37,0,0,1747,2034,34268,304,25,35,0,1,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:12.921Z,2047,2043,50,1048,1,37,0,0,1747,1845,34468,272,21,35,0,1,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:13.023Z,2047,2044,0,1040,1,37,0,0,1747,1751,33218,32,1,35,0,1,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:13.124Z,2047,2044,0,1040,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:13.225Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:13.325Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:13.425Z,2047,2044,0,1040,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:13.526Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,34,0,0,2347,2347,0,0,0,35,0,0
2025-11-09T09:27:13.627Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,1947,2347,0,0,0,35,0,0
2025-11-09T09:27:13.729Z,2047,2044,0,1040,0,37,0,0,1747,1748,0,8,0,35,0,0,1947,2335,32968,133,18,36,0,1
2025-11-09T09:27:13.829Z,2047,2051,0,40,1,37,0,0,1747,1748,0,8,0,35,0,0,1947,2216,34268,379,39,36,0,1
2025-11-09T09:27:13.929Z,2047,2056,0,68,2,37,0,0,1747,1748,0,8,0,35,0,0,1947,2027,34468,258,27,36,0,1
2025-11-09T09:27:14.029Z,2047,2056,0,64,3,37,0,0,1747,1748,0,8,0,35,0,0,1947,1949,33268,25,1,36,0,1
2025-11-09T09:27:14.131Z,2047,2056,0,64,2,37,0,0,1747,1748,0,8,0,35,0,0,2347,1949,0,25,1,36,0,0
2025-11-09T09:27:14.232Z,2047,2056,0,64,2,37,0,0,1747,1748,0,8,0,35,0,0,2347,1962,450,1153,8,36,0,1
2025-11-09T09:27:14.333Z,2047,2056,0,64,3,37,0,0,1747,1748,0,8,0,34,0,0,2347,2085,1650,1374,29,35,0,1
2025-11-09T09:27:14.434Z,2047,2054,32818,44,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2273,1550,1261,19,36,0,1
2025-11-09T09:27:14.536Z,2047,2051,0,24,1,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,300,0,0,36,0,1
2025-11-09T09:27:14.637Z,2047,2051,0,24,0,37,0,0,1747,1748,0,8,0,35,0,0,2347,2347,0,0,0,36,0,0
